cDesc,cSize,cGenes,k_input_from_cGenes,k_present,k_missing,fraction_present,category_score_z,null_mean_score_z,p_one_sided,tail,p_corrected
negative regulation of neurological system process,8,"TMEM98, MTMR2, TNF, FIG4, JAM2, CTSC, TNFRSF21, CACNB3",8,8,0,1.0,0.12243100255727768,2.5979218776228664e-18,0.007099290070992901,two-sided,0.5020180334907686
cellular sodium ion homeostasis,9,"SLC9A1, ATP1A3, ATP1B1, ATP4A, ATP1A1, ATP1A4, NEDD4L, SLC8A1, ATP1B3",9,9,0,1.0,0.12226025015115738,2.0872192862952944e-18,0.11158884111588842,two-sided,0.5898481380912188
hindlimb morphogenesis,13,"CTNNB1, WNT7A, PTCH1, ALX3, RARB, TWIST1, MSX1, GNAS, FMN1, WNT3, ZBTB16, HOXD9, RSPO2",13,13,0,1.0,0.1220196783542633,1.1712852909795402e-18,0.012598740125987402,two-sided,0.5020180334907686
negative regulation of collateral sprouting,11,"PTPRS, SPART, DCC, RGMA, ULK2, SPP1, FGF13, ULK1, FSTL4, BCL11A, EPHA7",11,11,0,1.0,0.12199895828962326,3.086420008457935e-18,0.0096990300969903,two-sided,0.5020180334907686
zinc II ion transport,13,"TRPM2, SLC39A10, SLC39A14, SLC39A11, SLC30A3, SLC39A7, SLC39A12, SLC39A4, SLC39A3, SLC39A13, SLC30A10, MT3, SLC39A8",13,13,0,1.0,0.12194458395242691,3.641531520770514e-18,0.0115988401159884,two-sided,0.5020180334907686
positive regulation of vasoconstriction,14,"TBXA2R, HRH1, ADRA1A, HTR2A, PTGS2, ACE, ADRA1D, ADRA1B, CD38, ADRA2C, HRH2, GJA1, OXTR, CHRM3",14,14,0,1.0,0.12116830050945282,2.042810365310288e-18,0.07679232076792321,two-sided,0.5895758749483904
regulation of fertilization,9,"CFAP69, PLCB1, CACNA1H, INTS13, PLAT, HYAL3, STXBP1, PLB1, OVGP1",9,9,0,1.0,0.12089957296848297,-2.375877272697835e-18,0.0036996300369963003,two-sided,0.5020180334907686
zinc II ion transmembrane transport,12,"SLC39A3, SLC39A13, SLC30A10, SLC39A14, SLC39A8, SLC30A3, SLC39A10, SLC39A4, SLC39A12, SLC39A7, SLC39A11, TRPM2",12,12,0,1.0,0.12076348811388016,9.436895709313831e-19,0.0057994200579942,two-sided,0.5020180334907686
cell communication by electrical coupling involved in cardiac conduction,9,"RYR2, FKBP1B, ATP1B1, ATP1A1, CACNA1C, GJA1, ATP1A3, SLC8A1, GJC1",9,9,0,1.0,0.12069998681545258,1.0658141036401502e-18,0.0136986301369863,two-sided,0.5020180334907686
maternal behavior,7,"KALRN, OXTR, MBD2, DRD1, BRINP1, NPAS1, OPRK1",7,7,0,1.0,0.12032032757997513,9.992007221626408e-19,0.022797720227977204,two-sided,0.5417702132225802
parental behavior,7,"OXTR, OPRK1, DRD1, KALRN, MBD2, BRINP1, NPAS1",7,7,0,1.0,0.12032032757997513,9.992007221626408e-19,0.022797720227977204,two-sided,0.5417702132225802
phosphatidylinositol-3-phosphate biosynthetic process,10,"PIK3CA, SYNJ2, PIK3CB, INPP4A, BECN1, SYNJ1, PIK3CD, FIG4, OCRL, INPP4B",10,10,0,1.0,0.11951533704996109,-4.440892098500626e-19,0.00029997000299970003,two-sided,0.5020180334907686
cellular response to mineralocorticoid stimulus,6,"EDN1, ATP2B1, AIFM1, RAN, ACE, GPER1",6,6,0,1.0,0.11897870153188705,0.0,0.012398760123987601,two-sided,0.5020180334907686
regulation of cell growth involved in cardiac muscle cell development,9,"RGS4, EDN1, AKAP6, PIN1, IGF1, FOXP1, RGS2, PAK1, PI16",9,9,0,1.0,0.11894456297159195,3.1530333899354448e-18,0.0476952304769523,two-sided,0.5649027982577237
response to acidic pH,11,"GPR4, SLC38A3, SST, PKD2L1, RAB11FIP5, IMPACT, ASIC1, SLC9A1, ASIC2, SERPINF1, RAB11B",11,10,1,0.9090909090909091,0.11869142204523087,-6.217248937900877e-19,0.006099390060993901,two-sided,0.5020180334907686
negative regulation of dendrite development,20,"BCL11A, YWHAH, TLX2, PTPRS, FSTL4, DTNBP1, NGEF, HDAC2, GRIN3A, UBE3A, DCC, ASAP1, KIAA0319, PPP3CA, NLGN1, DNM3, RAPGEF2, APOE, TRPC5, PLK2",20,20,0,1.0,0.11865939199924469,-3.375077994860476e-18,0.009599040095990401,two-sided,0.5020180334907686
L-serine transport,6,"SLC38A5, SLC38A7, SLC1A4, SFXN1, SLC38A2, SERINC3",6,6,0,1.0,0.11865022033452988,8.881784197001253e-19,0.0072992700729927005,two-sided,0.5020180334907686
circadian sleep/wake cycle process,8,"KCNA2, CRH, BTBD9, STAR, ADORA1, DRD2, SRD5A1, NLGN1",8,8,0,1.0,0.11845939606428146,-2.375877272697835e-18,0.004999500049995001,two-sided,0.5020180334907686
vascular smooth muscle contraction,13,"MKKS, HTR2A, ARHGAP42, DOCK4, COMP, EDNRB, CD38, EDN1, EDNRA, SLC8A1, CHRM3, GRIP2, EDN3",13,13,0,1.0,0.11825614422559738,-1.7097434579227411e-18,0.013098690130986902,two-sided,0.5020180334907686
inositol trisphosphate metabolic process,6,"PLCG2, P2RY6, HRH1, GPER1, PLCB1, ITPK1",6,6,0,1.0,0.11822303384542465,-2.1316282072803004e-18,0.040495950404959506,two-sided,0.5500787789701755
response to corticosterone,13,"FOS, CALM1, STAR, ATP2B1, CALM2, CRH, NEFL, FOSB, NTRK3, CCND1, MAOB, TRH, CALM3",13,13,0,1.0,0.11811666190624237,1.021405182655144e-18,0.05039496050394961,two-sided,0.5720803888603387
regulation of cell maturation,9,"NPR2, YTHDF2, MAP3K13, SIRT2, EDNRB, BCL11A, RET, LRRK2, BCL2",9,9,0,1.0,0.11793141812086105,1.1657341758564144e-18,0.0053994600539946005,two-sided,0.5020180334907686
endochondral bone growth,12,"EXT1, ECM1, THBS3, FGFR2, TSKU, COL27A1, RARB, ZMPSTE24, OSTN, ANXA6, FGFR3, COMP",12,12,0,1.0,0.1178269162774086,-2.753353101070388e-18,0.0031996800319968005,two-sided,0.5020180334907686
positive regulation of peptidyl-threonine phosphorylation,14,"PRKAG2, TRPC5, S1PR2, CHI3L1, RIPK2, CAB39, WNT5A, CALM1, CEMIP, CALM3, STOX1, MAPK1, SPHK1, CALM2",14,14,0,1.0,0.11778245866298676,-9.436895709313831e-19,0.029497050294970503,two-sided,0.5500787789701755
G-protein coupled receptor signaling pathway involved in heart process,6,"EDNRA, EDN1, RAMP3, AKAP13, CHGA, CDC42",6,6,0,1.0,0.11774086207151413,2.4424906541753445e-19,0.014298570142985701,two-sided,0.5020180334907686
positive regulation of cardiocyte differentiation,9,"EDN1, EFNB2, AKAP6, IGF1, DHX36, GPER1, SEMA3C, PIN1, MEF2C",9,9,0,1.0,0.11766772717237473,-2.6645352591003758e-18,0.0928907109289071,two-sided,0.5895758749483904
